nodeId,dataSplit,map,shuffle,reduce,makespan,criticalPath
1,7,37,14,5,63,0
2,7,36,9,4,56,0
3,4,40,8,5,57,0
4,6,38,14,5,63,0
5,7,41,13,5,66,0
6,5,38,7,4,54,0
7,5,43,14,6,68,1
8,7,35,8,5,55,0
9,5,42,8,6,61,0
10,6,43,11,5,65,0
11,4,36,9,6,55,0
12,7,38,8,3,56,0
13,6,35,11,4,56,0
14,4,40,14,6,64,0
15,6,35,13,3,57,0
16,5,43,14,3,65,0
17,6,35,11,5,57,0
18,7,38,9,3,57,0
19,7,41,7,6,61,0
20,6,36,10,5,57,0
21,7,40,7,6,60,0
22,4,37,7,5,53,0
23,7,36,10,6,59,0
24,5,41,12,4,62,0
25,4,42,13,6,65,0
26,7,41,11,3,62,0
27,7,38,14,4,63,0
28,5,35,13,6,59,0
29,7,37,8,4,56,0
30,7,43,8,6,64,0
1,4,43,7,5,59,0
2,7,35,14,3,59,0
3,6,43,11,6,66,0
4,5,42,13,5,65,0
5,4,35,12,5,56,0
6,6,41,13,6,66,0
7,5,39,9,3,56,0
8,7,39,13,4,63,0
9,6,40,13,4,63,0
10,6,36,11,3,56,0
11,5,38,7,6,56,0
12,4,43,7,3,57,0
13,7,42,8,3,60,0
14,6,40,9,5,60,0
15,7,43,10,3,63,0
16,5,36,14,6,61,0
17,6,42,8,4,60,0
18,7,42,10,6,65,0
19,6,41,14,6,67,1
20,7,36,13,6,62,0
21,4,42,13,6,65,0
22,5,35,9,3,52,0
23,4,38,11,3,56,0
24,6,42,7,3,58,0
25,5,38,10,6,59,0
26,5,42,14,3,64,0
27,5,39,8,4,56,0
28,6,35,12,5,58,0
29,4,38,14,5,61,0
30,4,40,13,6,63,0
1,4,38,9,6,57,0
2,4,38,9,5,56,0
3,5,40,7,6,58,0
4,5,39,8,3,55,0
5,4,43,13,5,65,0
6,7,37,11,3,58,0
7,5,37,10,6,58,0
8,4,38,14,6,62,0
9,7,36,11,4,58,0
10,7,41,14,5,67,1
11,5,37,13,4,59,0
12,6,40,13,3,62,0
13,5,38,13,4,60,0
14,7,41,12,5,65,0
15,6,43,13,4,66,0
16,7,42,11,6,66,0
17,5,42,13,3,63,0
18,7,35,8,6,56,0
19,4,40,12,3,59,0
20,4,38,11,6,59,0
